,IV_NN
159,0.20945142209529877
160,0.20945557951927185
161,0.20945973694324493
162,0.20946399867534637
163,0.20946815609931946
164,0.20947235822677612
165,0.20947663486003876
166,0.20948085188865662
167,0.2094849944114685
168,0.20948916673660278
169,0.2094934582710266
170,0.20944872498512268
171,0.20924657583236694
172,0.2090444266796112
173,0.2088421732187271
174,0.2086399346590042
175,0.20843781530857086
176,0.20823562145233154
177,0.20803338289260864
178,0.2078312337398529
179,0.20762908458709717
180,0.20742684602737427
181,0.20722465217113495
182,0.20702242851257324
183,0.2068203091621399
184,0.20661801099777222
185,0.20641592144966125
186,0.20621365308761597
187,0.20601144433021545
188,0.20580679178237915
189,0.20560167729854584
190,0.20546793937683105
191,0.20550225675106049
192,0.20540468394756317
193,0.2053462117910385
194,0.20528773963451385
195,0.20522919297218323
196,0.2051708698272705
197,0.20511245727539062
198,0.20505398511886597
199,0.20499542355537415
200,0.21130171418190002
201,0.21122075617313385
202,0.2111397087574005
203,0.21105875074863434
204,0.21097762882709503
205,0.21089661121368408
206,0.2108156681060791
207,0.21073465049266815
208,0.21065355837345123
209,0.21057254076004028
210,0.21049155294895172
211,0.2104104608297348
212,0.2103295624256134
213,0.2102484554052353
214,0.2101675271987915
215,0.2101026028394699
216,0.2100546658039093
217,0.21000665426254272
218,0.20995870232582092
219,0.20991072058677673
220,0.20986273884773254
221,0.20981483161449432
222,0.20976679027080536
223,0.20971883833408356
224,0.20967082679271698
225,0.20962291955947876
226,0.2095748782157898
227,0.20952686667442322
228,0.20947900414466858
229,0.2094310224056244
230,0.209383025765419
231,0.2093350887298584
232,0.20928707718849182
233,0.20923909544944763
234,0.20919108390808105
235,0.20914320647716522
236,0.20909513533115387
237,0.2090471237897873
238,0.20899924635887146
239,0.20895132422447205
240,0.20890331268310547
241,0.20885533094406128
242,0.20880739390850067
243,0.2087593674659729
244,0.2087113857269287
245,0.20866338908672333
246,0.20861545205116272
247,0.20856910943984985
248,0.2085733711719513
249,0.20857755839824677
250,0.20858165621757507
251,0.20858590304851532
252,0.20859017968177795
253,0.20859438180923462
254,0.20859846472740173
255,0.20860280096530914
256,0.20860695838928223
257,0.2086111307144165
258,0.20861534774303436
259,0.208619624376297
260,0.20862378180027008
261,0.20862799882888794
262,0.208632230758667
263,0.20863637328147888
264,0.20864057540893555
265,0.2086447775363922
266,0.20864903926849365
267,0.20865321159362793
268,0.20865744352340698
269,0.20866161584854126
270,0.20856955647468567
271,0.20836733281612396
272,0.2081650197505951
273,0.2079630196094513
274,0.20776070654392242
275,0.20755860209465027
276,0.20735636353492737
277,0.20715415477752686
278,0.2069520354270935
279,0.2067497968673706
280,0.20654764771461487
281,0.20634539425373077
282,0.20614315569400787
283,0.20594096183776855
284,0.20576366782188416
285,0.20560668408870697
286,0.20544975996017456
287,0.20529279112815857
288,0.20513483881950378
289,0.2049749791622162
290,0.20491917431354523
291,0.20501179993152618
292,0.20495334267616272
293,0.20489487051963806
294,0.20483653247356415
295,0.20477794110774994
296,0.20471951365470886
297,0.20466101169586182
298,0.20460259914398193
299,0.20454418659210205
300,0.21047087013721466
301,0.2103898525238037
302,0.2103087604045868
303,0.2102278172969818
304,0.21014679968357086
305,0.21006572246551514
306,0.20998479425907135
307,0.20990371704101562
308,0.20982271432876587
309,0.2097417563199997
310,0.20966073870658875
311,0.20957961678504944
312,0.2094985842704773
313,0.2094176709651947
314,0.209336519241333
315,0.2092680186033249
316,0.2092200070619583
317,0.20917212963104248
318,0.20912407338619232
