moneyness,time_to_maturity,kappa,theta,vov,rho,sigma,IV
0.9502418483512132,0.013649232845687,1.3253,0.0354,0.3877,-0.7165,0.0174,0.0959132559916753
0.985239991312766,0.1452256320062391,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12473684383136335
0.9928591760910294,0.0162554569268428,1.3253,0.0354,0.3877,-0.7165,0.0174,0.11760432399707936
1.011393466062043,0.0657667172359521,1.3253,0.0354,0.3877,-0.7165,0.0174,0.13759654939400956
1.0482562814936225,0.0931673477969531,1.3253,0.0354,0.3877,-0.7165,0.0174,0.15383306637539265
1.0115842051357966,0.0739774768615673,1.3253,0.0354,0.3877,-0.7165,0.0174,0.13768385293002608
1.0677873240699478,0.0164130377132028,1.3253,0.0354,0.3877,-0.7165,0.0174,0.1483178780102203
1.011459224883149,0.0165037013517698,1.3253,0.0354,0.3877,-0.7165,0.0174,0.13747887074871265
1.0038424247253996,0.0493829221515857,1.3253,0.0354,0.3877,-0.7165,0.0174,0.13377864267338488
1.1065813793293795,0.1917705117356525,1.3253,0.0354,0.3877,-0.7165,0.0174,0.17217351807907552
1.019315224825167,0.0465441496759759,1.3253,0.0354,0.3877,-0.7165,0.0174,0.1373005888564872
0.9881557593787892,0.1452712050240203,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12617996954253308
0.9181206111498028,0.010845729759368,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10104004914891963
0.995924268903129,0.0765368145795702,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12763143978987787
1.005538304740217,0.1342498971825276,1.3253,0.0354,0.3877,-0.7165,0.0174,0.13473849920096545
1.0725583395568414,0.0190718828477212,1.3253,0.0354,0.3877,-0.7165,0.0174,0.15237282813349048
0.9950593172531176,0.085010406299145,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12934430320418522
0.9443148072963484,0.0548406163308947,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10555914078513204
0.9282263862432208,0.0081247744430582,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10050097891089592
0.9572162058404092,0.0383117086284623,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10595309087410823
0.946337539169228,0.0492828096768079,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10313714368061301
0.9075088502541928,0.0767306500395559,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10151636825568121
1.0018257868686462,0.0521590189938933,1.3253,0.0354,0.3877,-0.7165,0.0174,0.13270889785230836
1.033789940306833,0.0766747852587414,1.3253,0.0354,0.3877,-0.7165,0.0174,0.14527768689395948
1.0055946037384635,0.0355706597871971,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12956945389578312
1.0172959713544851,0.1342942084499012,1.3253,0.0354,0.3877,-0.7165,0.0174,0.14024406561412586
1.0153765777454624,0.0494148598190854,1.3253,0.0354,0.3877,-0.7165,0.0174,0.13943840374986202
0.9794966221070782,0.0191883242934845,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12083953618059314
0.954051249945392,0.0137707428265017,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10816729956790556
0.956057663609804,0.0356463641362839,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10936614361656784
1.0288689752905296,0.0767450943606413,1.3253,0.0354,0.3877,-0.7165,0.0174,0.14568988700181665
0.997793355000983,0.027406164580254,1.3253,0.0354,0.3877,-0.7165,0.0174,0.1307216856776841
0.961045930392414,0.1452382819252233,1.3253,0.0354,0.3877,-0.7165,0.0174,0.11313244654379061
0.9842208092068512,0.0740759507542939,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12358268088684969
1.0045153133082667,0.0355142105594253,1.3253,0.0354,0.3877,-0.7165,0.0174,0.12914386046728468
0.9501029253392328,0.0138007591591698,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10661378205268252
0.9444657035273274,0.0275013556434844,1.3253,0.0354,0.3877,-0.7165,0.0174,0.10516747636231123
1.1067213496134678,0.1918117770913252,1.3253,0.0354,0.3877,-0.7165,0.0174,0.17340142148078752
0.9648682558174484,0.0109576225871198,1.3253,0.0354,0.3877,-0.7165,0.0174,0.09802930438114617
